Unnamed: 0,Time,Source,Destination,Protocol,Length,anomaly
1,0.0,fe80::c60:a2ff:fec9:ef75,ff02::1,ICMPv6,142,1
2,1.967105,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81c::2005,TCP,75,1
3,1.99401,2404:6800:4002:81c::2005,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,86,1
4,3.262656,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,64:ff9b::23e3:cb27,TCP,75,1
5,3.369002,64:ff9b::23e3:cb27,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,86,1
6,6.165803,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.2,120,1
7,6.172463,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TLSv1.2,116,1
8,6.172674,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TLSv1.2,116,1
9,6.249274,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74,1
10,8.817801,192.168.150.136,192.168.150.153,DNS,76,1
11,8.817936,192.168.150.136,192.168.150.153,DNS,76,1
12,8.81803,192.168.150.136,192.168.150.153,DNS,76,1
13,8.818262,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TCP,1374,1
14,8.818262,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TCP,1374,1
15,8.818262,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TLSv1.2,880,-1
16,8.818326,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TLSv1.2,262,1
17,8.8684,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74,1
18,8.880431,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74,1
19,8.882381,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74,1
20,8.883687,192.168.150.153,192.168.150.136,DNS,187,1
21,8.883687,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74,1
